id,x,y,landmark
2001.001.1076-1,706,507,1
2001.001.1076-1,742,235,2
2001.001.1076-1,721,20,3
2001.001.1076-1,606,10,4
2001.001.1076-2,694,615,1
2001.001.1076-2,750,356,2
2001.001.1076-2,760,56,3
2001.001.1076-2,637,33,4
2001.001.1077-1,669,544,1
2001.001.1077-1,731,256,2
2001.001.1077-1,746,20,3
2001.001.1077-1,589,98,4
2001.001.1077-2b,679,561,1
2001.001.1077-2b,750,309,2
2001.001.1077-2b,798,16,3
2001.001.1077-2b,637,108,4
2001.001.1077-5,639,584,1
2001.001.1077-5,673,344,2
2001.001.1077-5,681,6,3
2001.001.1077-5,581,22,4
2001.001.1077-6,658,534,1
2001.001.1077-6,689,306,2
2001.001.1077-6,696,39,3
2001.001.1077-6,598,39,4
2001.001.1077-8,633,622,1
2001.001.1077-8,669,350,2
2001.001.1077-8,608,16,3
2001.001.1077-8,552,12,4
2001.001.1082-1,748,524,1
2001.001.1082-1,800,242,2
2001.001.1082-1,739,18,3
2001.001.1082-1,603,8,4
2001.001.1082-2b,681,628,1
2001.001.1082-2b,731,325,2
2001.001.1082-2b,698,31,3
2001.001.1082-2b,591,14,4
2001.001.1082-3,712,563,1
2001.001.1082-3,756,298,2
2001.001.1082-3,769,10,3
2001.001.1082-3,600,70,4
2001.001.2376-2,696,628,1
2001.001.2376-2,760,353,2
2001.001.2376-2,760,87,3
2001.001.2376-2,616,39,4
2001.002.1406-1b,650,528,1
2001.002.1406-1b,698,315,2
2001.002.1406-1b,698,60,3
2001.002.1406-1b,602,16,4
2001.002.1635-1,731,611,1
2001.002.1635-1,815,348,2
2001.002.1635-1,823,83,3
2001.002.1635-1,639,43,4
2001.002.1687-1,669,630,1
2001.002.1687-1,763,344,2
2001.002.1687-1,829,60,3
2001.002.1687-1,636,112,4
2001.002.2065-1,729,551,1
2001.002.2065-1,769,348,2
2001.002.2065-1,790,31,3
2001.002.2065-1,641,29,4
2001.002.2151-1,800,770,1
2001.002.2151-1,886,450,2
2001.002.2151-1,785,89,3
2001.002.2151-1,644,16,4
2001.002.2748-1b,698,576,1
2001.002.2748-1b,760,325,2
2001.002.2748-1b,767,64,3
2001.002.2748-1b,648,39,4
ASM-HRP-AZ_J-14-1007-14,650,643,1
ASM-HRP-AZ_J-14-1007-14,704,331,2
ASM-HRP-AZ_J-14-1007-14,728,12,3
ASM-HRP-AZ_J-14-1007-14,611,32,4
ASM-HRP-AZ_J-14-1098-26,785,541,1
ASM-HRP-AZ_J-14-1098-26,865,288,2
ASM-HRP-AZ_J-14-1098-26,867,19,3
ASM-HRP-AZ_J-14-1098-26,730,28,4
ASM-HRP-AZ_J-14-1098-28,751,557,1
ASM-HRP-AZ_J-14-1098-28,802,303,2
ASM-HRP-AZ_J-14-1098-28,735,11,3
ASM-HRP-AZ_J-14-1098-28,615,2,4
ASM-HRP-AZ_J-14-1099-17,674,528,1
ASM-HRP-AZ_J-14-1099-17,706,283,2
ASM-HRP-AZ_J-14-1099-17,687,39,3
ASM-HRP-AZ_J-14-1099-17,589,5,4
ASM-HRP-AZ_J-14-1171-13,722,614,1
ASM-HRP-AZ_J-14-1171-13,751,348,2
ASM-HRP-AZ_J-14-1171-13,765,23,3
ASM-HRP-AZ_J-14-1171-13,632,18,4
ASMHRP-AZ_J-14-13-I157,637,532,1
ASMHRP-AZ_J-14-13-I157,683,288,2
ASMHRP-AZ_J-14-13-I157,706,48,3
ASMHRP-AZ_J-14-13-I157,606,16,4
ASM-HRP-AZ_J-14-1448-14,676,524,1
ASM-HRP-AZ_J-14-1448-14,705,271,2
ASM-HRP-AZ_J-14-1448-14,695,24,3
ASM-HRP-AZ_J-14-1448-14,597,3,4
ASM-HRP-AZ_J-14-1605-47,701,510,1
ASM-HRP-AZ_J-14-1605-47,743,258,2
ASM-HRP-AZ_J-14-1605-47,706,7,3
ASM-HRP-AZ_J-14-1605-47,601,44,4
ASM-HRP-AZ_J-14-1710-74,706,600,1
ASM-HRP-AZ_J-14-1710-74,737,359,2
ASM-HRP-AZ_J-14-1710-74,777,53,3
ASM-HRP-AZ_J-14-1710-74,595,30,4
ASMHRP-AZ_J-14-3-0.19,769,634,1
ASMHRP-AZ_J-14-3-0.19,798,407,2
ASMHRP-AZ_J-14-3-0.19,796,169,3
ASMHRP-AZ_J-14-3-0.19,687,50,4
ASMHRP-AZ_J-14-3-0.61,652,534,1
ASMHRP-AZ_J-14-3-0.61,714,298,2
ASMHRP-AZ_J-14-3-0.61,733,52,3
ASMHRP-AZ_J-14-3-0.61,608,14,4
ASMHRP-AZ_J-14-3-1135.15,712,569,1
ASMHRP-AZ_J-14-3-1135.15,784,335,2
ASMHRP-AZ_J-14-3-1135.15,838,106,3
ASMHRP-AZ_J-14-3-1135.15,658,100,4
ASMHRP-AZ_J-14-3-180.13,796,559,1
ASMHRP-AZ_J-14-3-180.13,892,317,2
ASMHRP-AZ_J-14-3-180.13,915,62,3
ASMHRP-AZ_J-14-3-180.13,696,54,4
ASMHRP-AZ_J-14-3-2576.16,656,521,1
ASMHRP-AZ_J-14-3-2576.16,687,275,2
ASMHRP-AZ_J-14-3-2576.16,694,8,3
ASMHRP-AZ_J-14-3-2576.16,598,43,4
ASMHRP-AZ_J-14-3-2785.13,677,501,1
ASMHRP-AZ_J-14-3-2785.13,737,256,2
ASMHRP-AZ_J-14-3-2785.13,702,6,3
ASMHRP-AZ_J-14-3-2785.13,602,75,4
ASMHRP-AZ_J-14-3-280.13,683,655,1
ASMHRP-AZ_J-14-3-280.13,737,347,2
ASMHRP-AZ_J-14-3-280.13,733,8,3
ASMHRP-AZ_J-14-3-280.13,610,41,4
ASMHRP-AZ_J-14-3-3021.39,719,515,1
ASMHRP-AZ_J-14-3-3021.39,712,269,2
ASMHRP-AZ_J-14-3-3021.39,662,22,3
ASMHRP-AZ_J-14-3-3021.39,568,19,4
ASMHRP-AZ_J-14-3-640.14,687,511,1
ASMHRP-AZ_J-14-3-640.14,740,265,2
ASMHRP-AZ_J-14-3-640.14,717,20,3
ASMHRP-AZ_J-14-3-640.14,593,33,4
ASMHRP-AZ_J-14-3-722.14,721,482,1
ASMHRP-AZ_J-14-3-722.14,831,244,2
ASMHRP-AZ_J-14-3-722.14,750,16,3
ASMHRP-AZ_J-14-3-722.14,573,52,4
ASMHRP-AZ_J-14-3-85.38,721,565,1
ASMHRP-AZ_J-14-3-85.38,765,338,2
ASMHRP-AZ_J-14-3-85.38,746,37,3
ASMHRP-AZ_J-14-3-85.38,600,6,4
ASMHRP-AZ_J-14-3-865.17,879,657,1
ASMHRP-AZ_J-14-3-865.17,930,409,2
ASMHRP-AZ_J-14-3-865.17,971,139,3
ASMHRP-AZ_J-14-3-865.17,742,77,4
ASMHRP-AZ_J-14-3-87.13,666,517,1
ASMHRP-AZ_J-14-3-87.13,723,254,2
ASMHRP-AZ_J-14-3-87.13,681,8,3
ASMHRP-AZ_J-14-3-87.13,591,56,4
ASMHRP-AZ_J-14-3-98.27,796,966,1
ASMHRP-AZ_J-14-3-98.27,913,519,2
ASMHRP-AZ_J-14-3-98.27,919,48,3
ASMHRP-AZ_J-14-3-98.27,708,52,4
ASMHRP-AZ_P-2-11-I-138,706,551,1
ASMHRP-AZ_P-2-11-I-138,752,292,2
ASMHRP-AZ_P-2-11-I-138,714,56,3
ASMHRP-AZ_P-2-11-I-138,604,44,4
ASMHRP-AZ_P-2-11-I-148,685,780,1
ASMHRP-AZ_P-2-11-I-148,802,402,2
ASMHRP-AZ_P-2-11-I-148,833,16,3
ASMHRP-AZ_P-2-11-I-148,664,64,4
ASMHRP-AZ_P-2-11-I-15,736,532,1
ASMHRP-AZ_P-2-11-I-15,783,283,2
ASMHRP-AZ_P-2-11-I-15,752,35,3
ASMHRP-AZ_P-2-11-I-15,610,52,4
ASMHRP-AZ_P-2-11-I-154,702,523,1
ASMHRP-AZ_P-2-11-I-154,696,263,2
ASMHRP-AZ_P-2-11-I-154,648,14,3
ASMHRP-AZ_P-2-11-I-154,568,64,4
ASMHRP-AZ_P-2-11-I-23,679,521,1
ASMHRP-AZ_P-2-11-I-23,727,263,2
ASMHRP-AZ_P-2-11-I-23,712,8,3
ASMHRP-AZ_P-2-11-I-23,593,35,4
ASMHRP-AZ_P-2-11-I-94,750,594,1
ASMHRP-AZ_P-2-11-I-94,788,354,2
ASMHRP-AZ_P-2-11-I-94,729,68,3
ASMHRP-AZ_P-2-11-I-94,593,80,4
ASMHRP-AZ_P-2-11-I-99,729,910,1
ASMHRP-AZ_P-2-11-I-99,850,505,2
ASMHRP-AZ_P-2-11-I-99,836,62,3
ASMHRP-AZ_P-2-11-I-99,675,39,4
Awatovi-25165,677,559,1
Awatovi-25165,679,319,2
Awatovi-25165,660,31,3
Awatovi-25165,571,7,4
Awatovi-38763,636,748,1
Awatovi-38763,753,386,2
Awatovi-38763,873,35,3
Awatovi-38763,665,76,4
Awatovi-38765,782,535,1
Awatovi-38765,775,291,2
Awatovi-38765,755,38,3
Awatovi-38765,628,12,4
Awatovi-38780,755,514,1
Awatovi-38780,833,281,2
Awatovi-38780,905,41,3
Awatovi-38780,688,21,4
Awatovi-40394,688,663,1
Awatovi-40394,680,352,2
Awatovi-40394,670,47,3
Awatovi-40394,580,20,4
Awatovi-44619,667,525,1
Awatovi-44619,731,284,2
Awatovi-44619,797,37,3
Awatovi-44619,634,33,4
Awatovi-45940,776,690,1
Awatovi-45940,835,369,2
Awatovi-45940,917,42,3
Awatovi-45940,716,28,4
Awatovi-45942,747,655,1
